Название объявления;Текст объявления;Марка авто;Модель Авто;Год;Кузов;Цена;Фотография;Количество;Left-Right;Front-Back;Up-Down;Номер;Двигатель
Панель передняя УАЗ-3163 …;Панель передняя УАЗ-3163 (морда) (ОАО УАЗ) -8401050-10 (кондиционер);УАЗ;все;;;6745;;;;Front;;;
Панель передняя УАЗ-3163 …;Панель передняя УАЗ-3163 (морда) (ОАО УАЗ) Рестайлинг;УАЗ;Patriot;;;6745;;;;Front;;;
Панель передняя УАЗ-452 (…;Панель передняя УАЗ-452 (морда) (ОАО УАЗ);УАЗ;452;;;9950;;;;Front;;;
Панель пола УАЗ 469 задня…;Панель пола УАЗ 469 задняя;УАЗ;469;;;1960;;;;Back;;;
"Панель приборов УАЗ-452 ""…";"Панель приборов УАЗ-452 ""Румба"" (накладка)";УАЗ;452;;;2590;;;;;;;
Панель приборов УАЗ-452 м…;Панель приборов УАЗ-452 металл нов/обр с 2016г спидометр ИТЭЛМА;УАЗ;452;2016;;1580;;;;;;;
Панель приборов УАЗ-452 с…;Панель приборов УАЗ-452 стандарт Евро-4  (накладка);УАЗ;452;;;1900;;;;;;;
"Панель приборов УАЗ-469 ""…";"Панель приборов УАЗ-469 ""Интрига"" (накладка)";УАЗ;469;;;2445;;;;;;;
Панель рамки ветрового ст…;Панель рамки ветрового стекла 3163;УАЗ;Patriot;;;1860;;;;;;;
Патрубок отопителя 3163 р…;Патрубок отопителя 3163 резиновые (4 шт. к-т);УАЗ;Patriot;;;270;;;;;;;
Патрубок отопителя 3163 р…;"Патрубок отопителя 3163 резиновые (4 ШТ/к-т) ""Ф-А""";УАЗ;Patriot;;;335;;;;;;;
Патрубок отопителя 3163 с…;Патрубок отопителя 3163 силиконовые до 2012г (4 шт. к-т) короткие;УАЗ;Patriot;2012;;980;;;;;;;
Патрубок отопителя 3163 с…;Патрубок отопителя 3163 силиконовые с 2012г (4 шт. к-т) длинные;УАЗ;Patriot;2012;;1840;;;;;;;
Патрубок радиатора Валдай…;"Патрубок радиатора Валдай  ""Ф-А""";УАЗ;все;;;226;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот"" (409 дв) ЕВРО-3/4 (2 ШТ/к-т) под конд.";УАЗ;Patriot;;;510;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот"" (409 дв) ЕВРО-3/4 (3 ШТ/к-т) под конд.  СИЛИКОН";УАЗ;Patriot;;;1495;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот"" (409 дв) ЕВРО-3/4 (3 ШТ/к-т) под конд.  ""Ф-А""";УАЗ;Patriot;;;440;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" (409 дв) ЕВРО-2 НИЖНИЙ";УАЗ;Patriot;;;225;;;;;Down;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" (409 дв) ЕВРО-2 (3 ШТ/к-т) Саранск )";УАЗ;Patriot;;;424;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" (409 дв) ЕВРО-2 СИЛИКОН (3 ШТ/к-т)";УАЗ;Patriot;;;1440;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" (409 дв) ЕВРО-2 ВЕРХНИЙ";УАЗ;Patriot;;;225;;;;;Up;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" (409 дв) ЕВРО-2 (3 ШТ/к-т) ""Ф-А""";УАЗ;Patriot;;;310;;;;;;;
"Патрубок радиатора УАЗ ""П…";"Патрубок радиатора УАЗ ""Патриот/Хантер"" d=45 мм, L=80 мм /коротыш/ 31601-1303022";УАЗ;Patriot;;;45;;;;;;;
Патрубок радиатора УАЗ 10…;"Патрубок радиатора УАЗ 100 л/с (3 ШТ/к-т) 3160 легковой""Ф-А""";УАЗ;3160;;;350;;;;;;;
Патрубок радиатора УАЗ 10…;Патрубок радиатора УАЗ 100 л/с (5 ШТ/к-т) 3741,3160 САРАНСК волжск;УАЗ;3160;;;450;;;;;;;
Патрубок радиатора УАЗ дв…;Патрубок радиатора УАЗ дв.4213 инжектор (4 ШТ/к-т) Саранск;УАЗ;все;;;450;;;;;;;
Патрубок радиатора УАЗ дв…;Патрубок радиатора УАЗ дв.4213 инжектор верхний;УАЗ;все;;;120;;;;;Up;;
Патрубок радиатора УАЗ-46…;"Патрубок радиатора УАЗ-469/Хантер (3 ШТ/к-т) 90л/с ""Ф-А""";УАЗ;Hunter;;;230;;;;;;;
Патрубок радиатора УАЗ-46…;Патрубок радиатора УАЗ-469/452 (3 ШТ/к-т) 90л/с (2б, 1м) Саранск;УАЗ;469;;;340;;;;;;;
Патрубок радиатора УАЗ-46…;Патрубок радиатора УАЗ-469/452 (3 ШТ/к-т) 90л/с (2б, 1м) СИЛИКОН;УАЗ;469;;;945;;;;;;;
Патрубок радиатора УАЗ-46…;"Патрубок радиатора УАЗ-469/452 (3 ШТ/к-т) 90л/с (2б, 1м) ""Ф-А""";УАЗ;469;;;225;;;;;;;
Патрубок радиатора УАЗ-46…;Патрубок радиатора УАЗ-469/452 верхний БРТ;УАЗ;469;;;85;;;;;Up;;
Патрубок радиатора УАЗ-46…;Патрубок радиатора УАЗ-469/452 нижний;УАЗ;469;;;120;;;;;Down;;
Патрубок РХХ,сапуна 409дв…;Патрубок РХХ,сапуна 409дв (3 шт/к-т);УАЗ;все;;;290;;;;;;;
Патрубок РХХ,сапуна 409дв…;Патрубок РХХ,сапуна 409дв (3 шт/к-т) силикон;УАЗ;все;;;515;;;;;;;
Патрубок РХХ,сапуна 409дв…;Патрубок РХХ,сапуна 409дв силикон;УАЗ;все;;;390;;;;;;;
Патрубок сапуна УАЗ дв.40…;Патрубок сапуна УАЗ дв.409 E-4 /с обр. клапаном/;УАЗ;все;;;210;;;;;;;
Патрубок сапуна УАЗ дв.40…;Патрубок сапуна УАЗ дв.409.10 ЕВРО-4 угол резина 30*30 мм;УАЗ;все;;;65;;;;;;;
Патрубок сапуна УАЗ дв.40…;Патрубок сапуна УАЗ дв.40904  E-4 /с уплотн.кольцом/ пластик;УАЗ;все;;;130;;;;;;;
Патрубок сапуна УАЗ дв.40…;Патрубок сапуна УАЗ дв.40904 ЕВРО-3 резина 40х120;УАЗ;все;;;90;;;;;;;
Педаль газа УАЗ-452 ЕВРО …;Педаль газа УАЗ-452 ЕВРО (без троса) комплект /инжектор/;УАЗ;452;;;310;;;;;;;
Педаль газа УАЗ-469 Р/К с…;Педаль газа УАЗ-469 Р/К с приводом в сб. блистер;УАЗ;469;;;390;;;;;;;
Переключатель паузы ст/оч…;Переключатель паузы ст/очистителя 3162;УАЗ;"3162 ""Simbir""";;;183;;;;;;;
Переключатель поворотов У…;Переключатель поворотов УАЗ;УАЗ;все;;;660;;;;;;;
Переключатель поворотов У…;Переключатель поворотов УАЗ /Патриот/ (с 07.13 до 09.16) эргономичный;УАЗ;Patriot;;;645;;;;;;;
Переключатель поворотов У…;Переключатель поворотов УАЗ /Патриот/ 691.3709 БЕЗ ГОФРЫ;УАЗ;Patriot;;;565;;;;;;;
Переключатель подрулевой …;Переключатель подрулевой УАЗ Патриот (до 07.2013г.) АвтоАрматура;УАЗ;Patriot;2013;;1330;;;Left;;;;
Переключатель подрулевой …;Переключатель подрулевой УАЗ Патриот (мультируль) с 09.2016г. (373201);УАЗ;Patriot;2016;;3094;;;Left;;;;
Переключатель подрулевой …;Переключатель подрулевой УАЗ Патриот (с 07.2013г. ЭРГОНОМИЧНЫЙ);УАЗ;Patriot;2013;;1400;;;Left;;;;
Переключатель подрулевой …;Переключатель подрулевой УАЗ Хантер AVTOELECTRICA;УАЗ;Hunter;;;535;;;Left;;;;
Переключатель подрулевой …;Переключатель подрулевой УАЗ Хантер Люкс (Автоарматура);УАЗ;Hunter;;;1190;;;Left;;;;
Переключатель света УАЗ н…;Переключатель света УАЗ ножн. герметичный;УАЗ;все;;;250;;;;;;;
Переключатель ст/очистите…;Переключатель ст/очистителя УАЗ 6-конт. Завод;УАЗ;все;;;472;;;;;;;
Переключатель ст/очистите…;Переключатель ст/очистителя УАЗ Патриот (с 07.2013 до 09.2016) эргономичный;УАЗ;Patriot;2016;;612;;;;;;;
Переключатель ст/очистите…;Переключатель ст/очистителя УАЗ С/О 4-к ЛЭТЗ;УАЗ;все;;;335;;;;;;;
Переключатель ст/очистите…;Переключатель ст/очистителя УАЗ- ХАНТЕР;УАЗ;Hunter;;;297;;;;;;;
Переходник карбюратора К-…;Переходник карбюратора К-126  мал. круглый;УАЗ;все;;;100;;;;;;;
Переходник карбюратора УА…;"Переходник карбюратора УАЗ-4178 ""ДААЗ"" овальный";УАЗ;все;;;106;;;;;;;
Переходник топливных труб…;Переходник топливных трубок УАЗ 3163;УАЗ;Patriot;;;120;;;;;;;
Петля двери УАЗ 452 верхн…;Петля двери УАЗ 452 верхняя;УАЗ;452;;;345;;;;;Up;;
Петля двери УАЗ 452 нижня…;Петля двери УАЗ 452 нижняя;УАЗ;452;;;250;;;;;Down;;
Петля капота УАЗ 3163/316…;"Петля капота УАЗ 3163/3160 лев+прав (ООО ""УАЗ"")";УАЗ;3160;;;1105;;;;;;;
"Петля капота УАЗ-469 ОАО""…";"Петля капота УАЗ-469 ОАО""УАЗ""";УАЗ;469;;;390;;;;;;;
Пистон обивки (держатель+…;Пистон обивки (держатель+фиксатор) 2206(СЕРЫЙ);УАЗ;все;;;8;;;;;;;
Пистон обивки (держатель+…;Пистон обивки (держатель+фиксатор) 2206 бежевый;УАЗ;все;;;8;;;;;;;
Пистон обивки (держатель+…;Пистон обивки (держатель+фиксатор) 2206 (ЧЕРНЫЙ);УАЗ;все;;;8;;;;;;;
Планка генератора УАЗ кри…;Планка генератора УАЗ кривая;УАЗ;все;;;130;;;;;;;
Пластина креп. раздат. ко…;Пластина креп. раздат. коробки и КПП УАЗ (452);УАЗ;452;;;1885;;;;;;;
Пластина креп. раздат. ко…;Пластина креп. раздат. коробки и КПП УАЗ (469);УАЗ;469;;;2085;;;;;;;
Пластина привода маслонас…;Пластина привода маслонасоса УАЗ;УАЗ;все;;;40;;;;;;;
Пластина стремянки стабил…;Пластина стремянки стабилизатора 3160;УАЗ;3160;;;70;;;;;;;
Плафон салона 2705 в сбор…;Плафон салона 2705 в сборе СВЕТОДИОДНАЯ лампа;УАЗ;все;;;570;;;;;;;
Плафон салона УАЗ 3163 (с…;Плафон салона УАЗ 3163 (с 2014г) задний;УАЗ;Patriot;2014;;615;;;;Back;;;
Плафон салона УАЗ 3163 (с…;Плафон салона УАЗ 3163 (с 2014г) передний;УАЗ;Patriot;2014;;620;;;;Front;;;
Плафон салона УАЗ н/о…;Плафон салона УАЗ н/о;УАЗ;все;;;100;;;;;;;
Плафон салона УАЗ с/о…;Плафон салона УАЗ с/о;УАЗ;все;;;100;;;;;;;
Повторитель поворота УАЗ …;Повторитель поворота УАЗ  ПАТРИОТ с 2012г. евро-разьем белый;УАЗ;Patriot;2012;;170;;;;;;;
Повторитель поворота УАЗ …;"Повторитель поворота УАЗ  ""Хантер"" ОСВАР";УАЗ;Hunter;;;95;;;;;;;
Повторитель поворота УАЗ,…;Повторитель поворота УАЗ,53,3307 Н/О с юбкой;УАЗ;все;;;45;;;;;;;
Повторитель поворота УАЗ,…;Повторитель поворота УАЗ,53,3307 С/О без юбки;УАЗ;все;;;40;;;;;;;
Поддон УАЗ  дв.ЗМЗ-409 (к…;Поддон УАЗ  дв.ЗМЗ-409 (картер двигателя маслянный)**;УАЗ;все;;;10250;;;;;;;
Подкладка стремянки  ресс…;Подкладка стремянки  рессоры УАЗ Патриот,Хантер 30 мм;УАЗ;Patriot;;;420;;;;;;;
Подкладка стремянки ЗАДНЕ…;Подкладка стремянки ЗАДНЕЙ рессоры УАЗ ВЕРХНЯЯ толщина 15мм;УАЗ;все;;;125;;;;Back;Up;;
Подкладка стремянки ЗАДНЕ…;Подкладка стремянки ЗАДНЕЙ рессоры УАЗ ВЕРХНЯЯ толщина 22мм;УАЗ;все;;;250;;;;Back;Up;;
Подкладка стремянки ЗАДНЕ…;Подкладка стремянки ЗАДНЕЙ рессоры УАЗ-452 НИЖНЯЯ;УАЗ;452;;;370;;;;Back;Down;;
Подкладка стремянки ЗАДНЕ…;Подкладка стремянки ЗАДНЕЙ рессоры УАЗ-469 НИЖНЯЯ;УАЗ;469;;;220;;;;Back;Down;;
Подкладка стремянки ПЕРЕД…;Подкладка стремянки ПЕРЕДНЕЙ рессоры УАЗ нижняя ЛЕВАЯ;УАЗ;все;;;450;;;Left;Front;Down;;
Подкладка стремянки ПЕРЕД…;Подкладка стремянки ПЕРЕДНЕЙ рессоры УАЗ нижняя ПРАВАЯ;УАЗ;все;;;450;;;Right;Front;Down;;
Подкрылки УАЗ-3163 с 2015…;Подкрылки УАЗ-3163 с 2015 г. 4шт/к-т;УАЗ;Patriot;2015;;1995;;;;;;;
Подкрылки УАЗ-3163 с 2015…;Подкрылки УАЗ-3163 с 2015г. (передн. 2шт/к-т);УАЗ;Patriot;2015;;1250;;;;Front;;;
Подкрылки УАЗ-3303 (голов…;Подкрылки УАЗ-3303 (головастик фермер) 2шт/к-т передние;УАЗ;все;;;470;;;;Front;;;
Подкрылки УАЗ-452,3741 (и…;"Подкрылки УАЗ-452,3741 (инжектор) ""CHAPK"" С.Пет.4шт/к-т";УАЗ;452;;;2290;;;;;;;
Подкрылки УАЗ-452,3741 пе…;Подкрылки УАЗ-452,3741 передние (инжектор) 2шт/к-т;УАЗ;452;;;870;;;;Front;;;
Подкрылки УАЗ-452/2206/37…;"Подкрылки УАЗ-452/2206/3741  ""Нева-Пластик""/Слотэк 4 шт/кт";УАЗ;452;;;900;;;;;;;
Подножка бампера переднег…;Подножка бампера переднего УАЗ Патриот  (накладка резиновая) до 2015 года;УАЗ;Patriot;2015;;780;;;;Front;;;
Подножка УАЗ 452 лев. (ОА…;"Подножка УАЗ 452 лев. (ОАО""УАЗ"")  0451-50-8405013";УАЗ;452;;;230;;;;;;;
Подножка УАЗ 452 прав. (О…;"Подножка УАЗ 452 прав. (ОАО""УАЗ"")  0451-50-8405012";УАЗ;452;;;230;;;;;;;
Подножка УАЗ-3163 (боково…;Подножка УАЗ-3163 (боковое ограждение порога) лев. 3162-8405011 до 2014 года;УАЗ;Patriot;2014;;7690;;;;;;;
Подножка УАЗ-3163 (боково…;Подножка УАЗ-3163 (боковое ограждение порога) прав. 3162-8405010 до 2014 года;УАЗ;Patriot;2014;;7690;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ ""Патриот"" (4091дв. грузопас.) (1.5кВт + №34) СЕВЕРС-М1";УАЗ;Patriot;;;2330;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ ""Патриот"" (409дв. с 2011г.) (1.5кВт + №33) СЕВЕРС-М1";УАЗ;Patriot;2011;;2840;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ ""Патриот"" (409дв.) (1.5кВт + №33) ""Спутник""";УАЗ;Patriot;;;1580;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ ""Патриот"" (409дв.) (1.5кВт) ""Старт""";УАЗ;Patriot;;;1880;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ карб. (1,5 кВт + №7) ""Спутник""";УАЗ;все;;;1580;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ карб. (1,5 кВт) ""Старт""";УАЗ;все;;;1800;;;;;;;
Подогреватель двигателя У…;"Подогреватель двигателя УАЗ-390995 (409дв.,с 2011г) (1.5кВт + №34) ""Спутник""";УАЗ;3909;2011;;1580;;;;;;;
Подрессорники 452 (завод)…;Подрессорники 452 (завод) с креплением к/т (на 2 рессоры);УАЗ;452;;;8395;;;;;;;
Подушка глушителя УАЗ  Ха…;Подушка глушителя УАЗ  Хантер/Патриот;УАЗ;Patriot;;;80;;;;;;;
Подушка двигателя УАЗ (4ш…;Подушка двигателя УАЗ (4шт/к-т) красная;УАЗ;все;;;489;;;;;;;
Подушка двигателя УАЗ (4ш…;Подушка двигателя УАЗ (4шт/к-т) черная;УАЗ;все;;;495;;;;;;;
Подушка двигателя УАЗ 316…;Подушка двигателя УАЗ 3163 задняя;УАЗ;Patriot;;;340;;;;Back;;;
Подушка двигателя УАЗ 316…;Подушка двигателя УАЗ 3163 передняя (ОПОРА);УАЗ;Patriot;;;303;;;;Front;;;
Подушка двигателя УАЗ-469…;Подушка двигателя УАЗ-469 (нижняя опора ) малая;УАЗ;469;;;11;;;;;Down;;
Подушка кузова УАЗ (Патри…;"Подушка кузова УАЗ (Патриот) ""Лифтинговая"" 10 штук + болты+ гайки/40мм/";УАЗ;Patriot;;;3550;;;;;;;
Подушка кузова УАЗ (Патри…;"Подушка кузова УАЗ (Патриот) ""Лифтинговая"" 10 штук + болты+ гайки/50мм/";УАЗ;Patriot;;;3680;;;;;;;
Подушка кузова УАЗ-3163 п…;Подушка кузова УАЗ-3163 полиуретан верхняя (грибок);УАЗ;Patriot;;;135;;;;;Up;;
Подушка кузова УАЗ-3163 п…;Подушка кузова УАЗ-3163 полиуретан нижняя (с лыской);УАЗ;Patriot;;;60;;;;;Down;;
Подушка кузова УАЗ-3163 п…;Подушка кузова УАЗ-3163 полиуретан нижняя (цилиндр);УАЗ;Patriot;;;60;;;;;Down;;
Подушка кузова УАЗ-3163 р…;Подушка кузова УАЗ-3163 резин верх  /грибок/;УАЗ;Patriot;;;90;;;;;Up;;
Подушка кузова УАЗ-3163 р…;Подушка кузова УАЗ-3163 резиновая нижняя (без лыски);УАЗ;Patriot;;;70;;;;;Down;;
Подушка кузова УАЗ-3163 р…;Подушка кузова УАЗ-3163 резиновая нижняя (с лыской);УАЗ;Patriot;;;50;;;;;Down;;
Подушка кузова УАЗ-452 (1…;"Подушка кузова УАЗ-452 (10 шт/к-т)  (40мм.) ""Лифтинговая""";УАЗ;452;;;3100;;;;;;;
Подушка кузова УАЗ-452 (1…;Подушка кузова УАЗ-452 (10 шт/к-т) Ульяновск (8 кор.,2 длин.);УАЗ;452;;;560;;;;;;;
Подушка кузова УАЗ-469 (1…;"Подушка кузова УАЗ-469 (12 шт/к-т)  (40мм.) ""Лифтинговая"" + БОЛТЫ";УАЗ;469;;;3100;;;;;;;
Подушка кузова УАЗ-469 (1…;Подушка кузова УАЗ-469 (12 шт/к-т) г. Ульяновск;УАЗ;469;;;670;;;;;;;
Подушка кузова УАЗ-469 (1…;"Подушка кузова УАЗ-469 (12 шт/к-т) ОАО ""УАЗ""";УАЗ;469;;;1745;;;;;;;
Подушка под пружину УАЗ П…;"Подушка под пружину УАЗ Патриот/Хантер ""РТ"" полиуретан";УАЗ;Patriot;;;174;;;;;;;
Подушка под пружину УАЗ П…;Подушка под пружину УАЗ Патриот/Хантер резина;УАЗ;Patriot;;;120;;;;;;;
Подушка под радиатор УАЗ …;Подушка под радиатор УАЗ  в сборе 2ШТ/к-т (4 подушки +2болта+2гайки+2шайбы);УАЗ;все;;;90;;;;;;;
Подушка под радиатор УАЗ …;Подушка под радиатор УАЗ Патриот (тоже кондиционера );УАЗ;Patriot;;;75;;;;;;;
Подушка рессоры УАЗ-452 к…;Подушка рессоры УАЗ-452 красная;УАЗ;452;;;85;;;;;;;
Подушка рессоры УАЗ-452 п…;Подушка рессоры УАЗ-452 полиуретан;УАЗ;452;;;250;;;;;;;
Подушка рессоры УАЗ-452 ч…;Подушка рессоры УАЗ-452 черная (г,Барнаул);УАЗ;452;;;140;;;;;;;
Подушка рессоры УАЗ-452 ч…;Подушка рессоры УАЗ-452 черная (г.Чайковский);УАЗ;452;;;70;;;;;;;
Подушка рессоры УАЗ-Профи…;Подушка рессоры УАЗ-Профи;УАЗ;все;;;310;;;;;;;
Подшипник выжимной УАЗ ГО…;Подшипник выжимной УАЗ ГОЛЫЙ ГАЗ-53;УАЗ;все;;;440;;;;;;;
Подшипник выжимной УАЗ в …;"Подшипник выжимной УАЗ в сб. (подш. 986710) ОАО""УАЗ""";УАЗ;все;;;1420;;;;;;;
Подшипник выжимной УАЗ в …;Подшипник выжимной УАЗ в сб. (подш. 986710) усил. Чебоксары рычажная;УАЗ;все;;;770;;;;;;;
Подшипник выжимной УАЗ-31…;"Подшипник выжимной УАЗ-3160-50- в сб. (вилка н/о) (подш.986710) ОАО""УАЗ""";УАЗ;3160;;;1325;;;;;;;
Подшипник выжимной УАЗ-31…;"Подшипник выжимной УАЗ-3160-00- в сб. (вилка н/о) (подш. 6-520110) ОАО""УАЗ""";УАЗ;3160;2011;;1705;;;;;;;
Подшипник выжимной УАЗ-31…;Подшипник выжимной УАЗ-3160-40 в сб. (вилка с/о) (подш. 6-520110) АДС;УАЗ;3160;2011;;1285;;;;;;;
Подшипник выжимной УАЗ-31…;"Подшипник выжимной УАЗ-3160-40 в сб. (вилка с/о) (подш. 6-520110) ОАО ""УАЗ""";УАЗ;3160;2011;;1680;;;;;;;
Подшипник выжимной УАЗ-31…;Подшипник выжимной УАЗ-3160-40 в сб. (вилка с/о) (подш. 6-520110) Чебоксары;УАЗ;3160;2011;;1090;;;;;;;
Подшипник выжимной УАЗ-31…;Подшипник выжимной УАЗ-3160-40 в сб.(вилка с/о) (подш. 360710) дв.4213 Чебоксары;УАЗ;3160;;;660;;;;;;;
Подшипник задн. моста УАЗ…;Подшипник задн. моста УАЗ мост спайсер задний хвостовика /ВПЗ/ г.Волжский;УАЗ;все;;;740;;;;Back;;;
Подшипник задн. моста УАЗ…;Подшипник задн. моста УАЗ хвостов. задний /ВПЗ/ г.Волжский;УАЗ;все;;;1144;;;;Back;;;
Подшипник задн. моста УАЗ…;Подшипник задн. моста УАЗ хвостов. передний /ВПЗ/ г.Волжский;УАЗ;все;;;590;;;;Back;;;
Подшипник КПП КАМАЗ  перв…;Подшипник КПП КАМАЗ  первичного вал опора передняя /СПЗ/ с пыльниками;УАЗ;все;;;144;;;;Front;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701032 (DYMOS) первичн. вала;УАЗ;Patriot;;;1665;;;;;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701190 (DYMOS, 43047Т00120) втор. вала задний (KBC F-567523);УАЗ;Patriot;;;4950;;;;Back;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701281 (DYMOS, 43216Т00130) 1 пер. и з/х (игольчатый) /ES 120130/;УАЗ;Patriot;2013;;253;;;;;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701282 (DYMOS, 43216Т00140) втор. вала 2 пер. (игольчатый);УАЗ;Patriot;;;390;;;;;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701283 (DYMOS, 43216Т00150) втор. вала 3 пер. (игольчатый);УАЗ;Patriot;;;463;;;;;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701284 (DYMOS, 43216Т00170) оси з/х (игольчатый) /ES 120170/;УАЗ;Patriot;2017;;210;;;;;;;
Подшипник КПП УАЗ 3163-17…;Подшипник КПП УАЗ 3163-1701285 (DYMOS, 43216Т00160) 5 пер. (игольчатый) /ES 120160/;УАЗ;Patriot;2016;;220;;;;;;;
Подшипник КПП УАЗ 4-ст (Н…;Подшипник КПП УАЗ 4-ст (Н/О и С/О) перв. вала один пыльник со стороны стоп кольца /UBP/ г.Курск;УАЗ;все;;;415;;;;;;;
Подшипник КПП УАЗ 4-ступ …;Подшипник КПП УАЗ 4-ступ Рем/К-т (Н/О) (гайки+шайбы.прокл.) Автодизайн;УАЗ;все;;;2500;;;;;;;
Подшипник КПП УАЗ 4-ступ …;Подшипник КПП УАЗ 4-ступ Рем/К-т (С/О) (гайки+шайбы,сальник.прокл.) Автодизайн;УАЗ;все;;;2000;;;;;;;
